age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,management,single,secondary,no,5993,no,no,cellular,20,may,165,1,56,3,failure,no
35,technician,single,tertiary,no,1880,no,no,cellular,20,may,154,1,-1,0,unknown,yes
37,management,married,tertiary,no,3236,no,no,cellular,20,may,291,2,202,5,other,yes
67,management,married,secondary,no,3240,no,no,cellular,20,may,129,1,-1,0,unknown,no
30,technician,single,tertiary,no,780,yes,no,cellular,20,may,339,2,-1,0,unknown,no
60,management,married,secondary,no,0,no,no,cellular,20,may,321,4,87,8,failure,no
78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1568,yes,no,cellular,21,may,226,3,91,8,success,yes
61,technician,married,secondary,no,1191,no,no,cellular,21,may,214,4,-1,0,unknown,yes
53,management,married,tertiary,no,1356,yes,no,cellular,21,may,429,1,193,6,failure,no
47,admin.,married,secondary,no,368,no,no,cellular,21,may,403,1,87,6,success,yes
46,self-employed,married,secondary,no,706,no,no,cellular,21,may,588,1,386,3,failure,yes
30,management,single,tertiary,no,499,yes,no,cellular,21,may,145,1,281,3,failure,no
51,management,married,tertiary,no,2635,no,no,cellular,21,may,407,3,74,5,failure,yes
70,management,married,secondary,no,4,no,no,cellular,21,may,122,1,85,9,failure,no
31,blue-collar,single,secondary,no,411,no,no,cellular,21,may,91,3,361,1,failure,no
31,unemployed,single,secondary,no,2616,no,no,cellular,21,may,374,1,185,2,other,yes
24,unemployed,single,secondary,no,2573,no,no,cellular,24,may,375,2,-1,0,unknown,yes
21,student,single,secondary,no,215,no,no,cellular,24,may,382,1,89,7,success,yes
71,retired,married,primary,no,3230,no,no,cellular,24,may,341,2,133,3,failure,yes
25,self-employed,single,unknown,no,1179,no,no,cellular,24,may,131,2,95,5,failure,no
78,retired,married,primary,no,680,no,no,telephone,24,may,838,1,89,9,failure,no
49,self-employed,divorced,tertiary,no,3293,no,no,cellular,24,may,260,1,77,9,failure,no
52,admin.,single,secondary,no,726,yes,no,cellular,24,may,699,1,378,9,failure,yes
27,technician,single,tertiary,no,2781,yes,no,cellular,24,may,168,1,389,1,failure,yes
25,student,single,secondary,no,3713,no,no,cellular,24,may,323,2,353,3,other,yes
33,services,single,secondary,no,152,yes,no,cellular,25,may,202,2,365,2,success,yes
60,technician,married,secondary,no,0,no,no,cellular,25,may,641,4,-1,0,unknown,yes
33,management,single,tertiary,no,576,no,no,cellular,25,may,220,1,111,2,other,no
28,student,single,secondary,no,1925,no,no,cellular,25,may,252,1,88,4,failure,yes
30,admin.,single,secondary,no,265,yes,no,cellular,25,may,681,1,181,2,success,yes
29,unemployed,single,tertiary,no,70,no,no,cellular,25,may,393,1,-1,0,unknown,yes
28,student,married,secondary,no,0,no,no,unknown,25,may,201,1,-1,0,unknown,no
52,management,married,tertiary,no,388,no,no,cellular,25,may,272,1,-1,0,unknown,yes
59,management,married,primary,no,1727,no,no,telephone,25,may,500,4,358,2,failure,yes
38,technician,married,secondary,no,205,no,no,cellular,26,may,332,1,-1,0,unknown,yes
56,management,married,tertiary,no,12356,yes,no,cellular,26,may,410,1,551,5,other,yes
33,services,single,secondary,no,2881,no,no,cellular,26,may,289,1,328,1,success,yes
31,technician,single,secondary,no,846,no,no,cellular,26,may,405,3,205,2,failure,yes
39,management,married,tertiary,no,613,no,no,cellular,26,may,211,2,391,2,success,no
40,technician,married,secondary,no,2266,no,no,cellular,26,may,175,3,89,7,other,yes
33,management,single,tertiary,no,9317,no,no,cellular,26,may,267,1,205,3,failure,no
28,technician,married,secondary,no,742,no,no,cellular,26,may,236,1,-1,0,unknown,yes
66,management,married,unknown,no,2149,yes,no,cellular,26,may,135,2,90,11,success,yes
29,student,single,tertiary,no,459,no,no,unknown,26,may,376,1,-1,0,unknown,no
27,blue-collar,single,tertiary,no,567,no,no,cellular,26,may,523,3,182,3,success,yes
32,admin.,single,secondary,no,344,no,no,cellular,26,may,530,2,-1,0,unknown,yes
67,retired,married,primary,no,1430,no,no,telephone,26,may,283,2,135,5,success,yes
39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,93,1,555,2,other,yes
46,housemaid,married,secondary,no,38,no,no,cellular,27,may,181,3,183,1,success,yes
58,management,married,secondary,no,139,no,no,cellular,27,may,188,1,161,2,other,no
29,technician,divorced,secondary,no,124,no,no,unknown,27,may,125,1,-1,0,unknown,no
54,retired,married,secondary,no,3538,no,no,cellular,27,may,820,1,-1,0,unknown,yes
23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success,yes
47,services,divorced,unknown,no,973,no,no,cellular,27,may,489,1,479,1,failure,yes
26,management,single,tertiary,no,531,no,yes,unknown,27,may,57,1,-1,0,unknown,no
26,entrepreneur,single,secondary,no,681,no,yes,unknown,27,may,137,1,-1,0,unknown,no
28,services,single,tertiary,no,128,no,no,cellular,27,may,460,1,414,1,failure,yes
37,management,married,tertiary,no,1967,yes,no,cellular,27,may,774,1,-1,0,unknown,no
32,management,married,tertiary,no,500,yes,no,unknown,27,may,24,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,162,no,no,unknown,27,may,74,1,-1,0,unknown,no
55,services,divorced,secondary,no,379,no,no,cellular,27,may,275,3,219,2,other,no
27,admin.,single,secondary,no,1408,no,no,cellular,27,may,242,2,-1,0,unknown,no
45,technician,married,secondary,no,1831,no,no,cellular,27,may,275,2,-1,0,unknown,yes
63,blue-collar,married,secondary,no,641,no,no,cellular,27,may,417,2,-1,0,unknown,yes
60,unemployed,married,secondary,no,1047,no,no,cellular,27,may,173,3,279,4,success,yes
29,blue-collar,single,tertiary,no,455,no,no,telephone,27,may,214,2,36,1,success,yes
32,admin.,single,secondary,no,554,yes,no,cellular,28,may,101,2,368,5,failure,no
29,management,married,tertiary,no,8103,no,no,cellular,28,may,473,3,-1,0,unknown,yes
59,retired,married,primary,no,4007,no,no,cellular,28,may,581,3,63,6,failure,no
54,technician,married,secondary,no,65,no,no,cellular,28,may,309,4,93,4,failure,no
23,student,single,secondary,no,922,no,no,cellular,28,may,538,2,184,9,failure,yes
33,services,single,unknown,no,523,yes,no,unknown,28,may,86,1,-1,0,unknown,yes
48,housemaid,married,secondary,no,0,no,no,cellular,28,may,270,5,-1,0,unknown,yes
39,technician,married,tertiary,no,108,no,no,cellular,28,may,589,3,28,2,other,no
26,student,single,secondary,no,4613,no,no,cellular,28,may,663,3,196,2,other,yes
34,management,married,tertiary,no,813,yes,no,cellular,28,may,114,3,-1,0,unknown,no
28,student,single,tertiary,no,118,no,no,cellular,31,may,85,2,35,5,other,no
83,retired,divorced,primary,no,0,no,no,telephone,31,may,664,1,77,3,success,no
33,management,married,tertiary,no,1388,yes,no,cellular,31,may,158,1,202,3,failure,no
26,technician,single,tertiary,no,515,no,no,cellular,31,may,775,1,-1,0,unknown,yes
55,unemployed,married,primary,no,1212,no,no,cellular,31,may,178,1,-1,0,unknown,no
26,unemployed,single,secondary,no,1064,no,no,unknown,31,may,113,1,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,70,no,no,unknown,31,may,14,1,557,1,failure,no
55,admin.,married,secondary,no,8304,no,no,cellular,1,jun,201,1,-1,0,unknown,yes
57,management,divorced,unknown,no,2986,no,no,unknown,1,jun,1563,1,166,3,success,no
30,admin.,married,secondary,no,0,no,no,cellular,1,jun,318,1,-1,0,unknown,yes
36,technician,married,secondary,no,1368,no,no,cellular,1,jun,516,1,292,5,failure,yes
33,admin.,single,tertiary,no,272,yes,no,cellular,1,jun,326,1,237,2,failure,yes
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,yes
65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,failure,no
33,unemployed,single,secondary,no,427,no,no,unknown,1,jun,12,1,-1,0,unknown,no
28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,yes
70,retired,married,primary,no,2346,no,no,cellular,1,jun,421,1,97,6,success,no
51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,no
21,student,single,unknown,no,200,no,no,unknown,1,jun,8,1,-1,0,unknown,no
44,unemployed,married,secondary,no,317,yes,yes,unknown,1,jun,4,1,-1,0,unknown,no
31,management,single,tertiary,no,515,no,no,cellular,1,jun,296,5,-1,0,unknown,yes
28,management,single,tertiary,no,223,yes,no,cellular,1,jun,303,1,278,3,success,yes
28,blue-collar,single,secondary,no,75,no,no,unknown,1,jun,7,1,-1,0,unknown,no
32,management,married,tertiary,no,1402,no,no,unknown,1,jun,52,1,557,2,failure,no
45,management,divorced,tertiary,no,0,no,no,unknown,1,jun,5,1,-1,0,unknown,no
36,self-employed,single,tertiary,no,134,no,yes,unknown,1,jun,36,1,-1,0,unknown,no
34,technician,single,secondary,no,1087,no,no,unknown,1,jun,7,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,3310,no,no,cellular,2,jun,344,2,117,2,failure,no
49,admin.,single,tertiary,no,228,yes,no,cellular,2,jun,407,1,92,1,success,yes
27,blue-collar,single,tertiary,no,644,no,no,cellular,2,jun,657,1,182,1,success,yes
28,admin.,married,secondary,no,330,no,no,cellular,2,jun,226,2,182,4,success,yes
37,admin.,divorced,tertiary,no,4708,no,no,cellular,2,jun,238,1,181,2,success,yes
54,management,divorced,tertiary,no,496,no,no,cellular,2,jun,161,1,140,3,success,no
65,admin.,married,secondary,no,952,no,no,cellular,2,jun,310,1,-1,0,unknown,yes
31,technician,single,secondary,no,90,no,yes,unknown,4,jun,35,1,-1,0,unknown,no
27,blue-collar,single,primary,no,268,no,no,unknown,4,jun,32,1,-1,0,unknown,no
62,management,married,tertiary,no,5008,no,no,telephone,4,jun,139,2,-1,0,unknown,no
30,technician,single,secondary,no,1165,no,no,cellular,4,jun,204,2,183,3,success,yes
39,housemaid,divorced,secondary,no,70,no,no,cellular,4,jun,346,2,128,8,success,no
26,technician,single,tertiary,no,1066,no,no,cellular,4,jun,112,1,50,1,success,no
62,management,married,tertiary,no,0,yes,yes,cellular,4,jun,106,1,64,3,failure,no
30,management,married,tertiary,no,1288,no,no,unknown,7,jun,6,1,-1,0,unknown,no
33,technician,single,tertiary,no,172,no,no,unknown,7,jun,13,1,-1,0,unknown,no
51,management,married,tertiary,no,0,no,no,unknown,7,jun,302,1,-1,0,unknown,yes
56,admin.,married,secondary,no,699,no,no,unknown,7,jun,54,1,-1,0,unknown,no
22,services,single,secondary,no,361,no,no,telephone,7,jun,140,4,367,2,failure,no
68,retired,married,unknown,no,3701,no,no,telephone,8,jun,149,1,-1,0,unknown,no
38,admin.,married,secondary,no,0,yes,no,cellular,8,jun,187,1,181,2,success,yes
36,technician,divorced,secondary,no,2823,yes,no,cellular,8,jun,215,1,371,6,failure,yes
35,management,single,tertiary,no,3544,yes,no,cellular,8,jun,380,1,-1,0,unknown,yes
23,student,single,tertiary,no,508,no,no,cellular,8,jun,544,1,-1,0,unknown,no
63,retired,divorced,secondary,no,1490,no,no,cellular,8,jun,506,1,-1,0,unknown,yes
39,services,married,secondary,no,1970,yes,no,unknown,8,jun,30,1,404,2,success,no
59,blue-collar,married,secondary,no,448,no,no,unknown,8,jun,198,1,651,7,other,no
34,admin.,married,secondary,no,592,yes,no,unknown,8,jun,49,1,-1,0,unknown,no
49,management,divorced,tertiary,no,1405,no,no,unknown,8,jun,29,1,-1,0,unknown,no
59,management,married,tertiary,no,101,no,yes,unknown,9,jun,29,1,686,2,failure,no
63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,-1,0,unknown,yes
34,management,married,tertiary,no,158,no,no,cellular,9,jun,190,1,92,9,success,yes
36,services,married,secondary,no,4721,no,no,cellular,9,jun,150,1,92,5,success,yes
31,management,married,tertiary,no,877,no,no,cellular,9,jun,192,1,93,7,other,yes
28,management,single,tertiary,no,187,no,no,cellular,9,jun,206,1,92,1,success,yes
80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes
39,blue-collar,married,secondary,no,276,no,no,cellular,9,jun,334,2,-1,0,unknown,yes
34,services,divorced,secondary,no,44,no,no,unknown,9,jun,118,1,-1,0,unknown,no
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,93,1,success,no
31,management,single,tertiary,no,147,no,no,cellular,9,jun,163,2,92,3,success,yes
39,services,married,secondary,no,323,no,no,cellular,9,jun,874,2,188,6,failure,yes
50,admin.,married,secondary,no,2971,no,no,cellular,9,jun,722,2,-1,0,unknown,no
27,admin.,single,secondary,no,240,yes,yes,unknown,9,jun,46,1,-1,0,unknown,no
50,technician,single,tertiary,no,2,no,no,unknown,10,jun,2389,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,674,1,-1,0,unknown,yes
73,retired,married,primary,no,508,no,no,cellular,14,jun,154,4,97,1,success,no
67,retired,married,unknown,no,2540,no,no,telephone,14,jun,278,5,116,4,other,yes
29,blue-collar,single,secondary,no,322,no,no,unknown,14,jun,434,1,96,6,other,yes
36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success,yes
24,student,single,unknown,no,358,no,no,cellular,14,jun,245,1,384,1,other,yes
58,management,married,tertiary,no,256,no,no,cellular,14,jun,508,1,186,4,success,no
30,technician,single,secondary,no,2371,no,no,cellular,14,jun,661,1,384,2,other,yes
21,student,single,unknown,no,53,no,no,cellular,14,jun,270,1,-1,0,unknown,yes
27,admin.,single,unknown,no,861,no,no,cellular,14,jun,212,4,-1,0,unknown,yes
56,admin.,married,secondary,no,602,no,no,cellular,14,jun,458,1,130,8,success,yes
66,admin.,married,secondary,no,4041,no,no,cellular,14,jun,713,2,-1,0,unknown,yes
28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,516,1,-1,0,unknown,no
71,retired,divorced,primary,no,275,no,no,cellular,14,jun,293,1,425,1,success,yes
26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,yes
30,unemployed,single,tertiary,no,4082,no,no,telephone,14,jun,215,1,459,17,other,no
30,admin.,married,secondary,no,166,no,no,unknown,14,jun,30,1,-1,0,unknown,no
31,management,married,tertiary,no,1126,no,no,unknown,14,jun,20,1,-1,0,unknown,no
31,management,single,tertiary,no,938,no,no,cellular,14,jun,472,1,384,3,failure,no
31,management,single,tertiary,no,4533,no,no,cellular,14,jun,262,3,98,3,other,no
62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,yes
32,self-employed,single,tertiary,no,46,yes,no,cellular,14,jun,485,2,-1,0,unknown,yes
68,retired,divorced,primary,no,2027,no,no,cellular,15,jun,619,2,92,2,success,yes
37,admin.,married,tertiary,no,3221,no,no,cellular,15,jun,379,2,376,13,other,yes
27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success,yes
59,retired,divorced,primary,no,1194,yes,no,cellular,15,jun,132,4,389,2,failure,no
35,technician,married,secondary,no,294,yes,no,cellular,15,jun,238,6,98,5,success,no
45,technician,single,tertiary,no,2033,no,no,cellular,15,jun,243,5,285,2,success,yes
51,admin.,married,tertiary,no,0,yes,yes,cellular,15,jun,177,4,99,2,success,no
76,self-employed,married,unknown,no,4984,no,no,telephone,15,jun,126,3,48,2,success,no
27,management,single,tertiary,no,2786,no,no,cellular,15,jun,270,2,377,3,success,no
64,retired,married,secondary,no,3189,no,no,telephone,15,jun,208,1,-1,0,unknown,yes
28,management,single,tertiary,no,2725,no,no,cellular,16,jun,292,1,504,1,failure,yes
